word_eng;pronunciation;word_kor;hint;level;lesson_id
 1 ;il;;;1;2
 2 ;i;;;1;2
 3 ;sam;;;1;2
 4 ;sam;;;1;2
 5 ;o;;;1;2
 6 ;yuk;;;1;2
 7 ;chil;;;1;2
 8 ;pal;;;1;2
 9 ;goo;;;1;2
 10 ;sib;;;1;2
 11 ;sib-il;;;1;2
 12 ;sib-i;;;1;2
 13 ;sib-sam;;;1;2
 20 ;i-sib;;;1;2
 21 ;i-sib-il;;;1;2
 57 ;o-sib-chil;;;1;2
 83 ;pal-sib-sam;;;1;2
 100 ;baek;;;1;2
 200 ;i-beak;;;1;2
 300 ;sam-beak;;;1;2
 580 ;o-beak-pal-sib;;;1;2
 365 ;sam-beak-yuk-sib-o;;;2;2
 1.000 ;cheon;;;2;2
 7.000 ;chil-cheon;;;2;2
 2.468 ;i-cheon-sa-baek-yuk-sib-pal;;;2;2
 634 ;yuk-beak-sam-sib-sa;;;2;2
 6.389 ;yuk-cheon-sam-beak-pal-sib-goo;;;2;2
 2.021 ;i-cheon-i-sib-il;;;2;2
 10.000 ;man;;;2;2
 30.000 ;sam-man;;;2;2
 54.299 ;o-man-sa-cheon-i-baek-goo-sib-goo;;;3;2
 100.000 ;sib-man;;;3;2
 1.000.000 ;baek-man;;;3;2
 10.000.000 ;cheon-man;;;3;2
 100.000.000 ;eog;;;3;2
 1.000.000.000 ;sib-eog;;;3;2
 80.500 ;pal-man-o-baek;;;3;2
 437.001 ;sa-sib-sam-man-chil-cheon-il;;;3;2
 1 (Counting number) ;hana;;;4;2
 2 (Counting number) ;dul;;;4;2
 3 (Counting number) ;set;;;4;2
 4 (Counting number) ;net;;;4;2
 5 (Counting number) ;daseot;;;4;2
 6 (Counting number) ;yeosot;;;4;2
 7 (Counting number) ;ilgob;;;4;2
 8 (Counting number) ;yeodeolb;;;4;2
 9 (Counting number) ;ahob;;;4;2
 10 (Counting number) ;yeol;;;4;2
 20 (Counting number) ;seumul;;;4;2
 30 (Counting number) ;seoreun;;;4;2
 40 (Counting number) ;maheun;;;4;2
 50 (Counting number) ;shin;;;4;2
 60 (Counting number) ;yesun;;;4;2
 70 (Counting number) ;ilheun;;;4;2
 80 (Counting number) ;yeodeun;;;4;2
 90 (Counting number) ;aheun;;;4;2
28 (Counting number);seumul-yeodeolb;;;4;2
 62 (Counting number) ;yesun-dul;;;4;2
 98 (Counting number) ;aheun-yeodeolb;;;4;2